TIF,施設,全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,回答数順位,回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
JR芦原温泉駅 エリア,52,,,,,,,,3.980769231,,,,,8,12,-7.692307692,,,,0,1,11,3,8,28,1,0,0,0,27,25,11,9,1,1,30,8,1,5,29,0,0,1,1,3,0,0,0,2,9,28,0,8,2,2,0,2,0,7,0,0,1,3,1,3,2,4,2,1,5,23,3,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,1,2,32,0,1,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
かつやま恐竜の森 エリア,748,,,,,,,,4.537433155,,,,,413,75,45.18716578,,,,9,122,223,137,145,90,13,0,0,0,341,379,315,132,24,19,258,53,67,55,169,7,0,34,14,238,0,0,0,81,148,223,19,160,530,26,7,3,13,53,17,3,5,26,34,9,67,25,52,63,77,91,62,67,42,31,55,22,17,7,1,0,6,0,0,3,5,6,1,23,24,75,39,12,21,46,38,0,7,21,22,86,18,29,38,114,52,16,5,0,1,6,7,3,1,4,1,0,6,0,2,1,1,0,0,0,0
福井駅前 エリア,209,,,,,,,,4.301435407,,,,,96,32,30.62200957,,,,2,16,34,32,61,59,5,0,0,0,86,114,76,33,9,6,85,67,4,11,70,0,0,9,3,18,0,0,0,18,31,74,14,49,28,12,6,2,2,26,3,1,0,7,11,20,14,7,13,16,19,31,17,14,12,6,15,9,8,4,0,0,1,0,0,1,1,1,2,8,10,29,7,2,5,5,59,0,4,1,1,11,0,8,6,20,11,3,0,0,0,0,1,0,0,0,0,1,5,0,0,1,0,1,0,0,0
大本山 永平寺 エリア,465,,,,,,,,4.406451613,,,,,203,71,28.38709677,,,,4,47,61,79,162,91,20,0,0,0,214,240,189,100,11,20,145,57,27,44,168,7,0,36,6,20,0,0,0,60,118,187,22,284,94,18,12,2,10,63,10,1,0,18,15,16,41,9,37,48,39,52,41,34,34,22,25,17,14,7,1,0,6,1,1,0,8,5,3,17,21,64,23,5,7,17,23,0,3,11,11,41,13,14,16,64,36,13,2,2,0,4,6,1,0,5,1,0,8,1,0,2,0,2,0,0,0
あわら湯のまち エリア,439,,,,,,,,4.40546697,,,,,200,69,29.8405467,,,,2,39,53,66,123,128,26,0,0,0,213,208,330,60,5,4,40,11,16,29,145,19,0,44,11,62,0,0,0,216,261,224,9,87,101,18,3,3,7,23,8,0,2,8,8,10,22,6,30,29,43,78,35,31,29,28,32,16,18,1,0,0,2,0,0,0,8,2,3,9,5,33,12,3,11,33,82,1,13,8,8,48,4,21,21,48,31,11,4,2,0,1,3,0,1,1,4,0,3,0,0,0,1,0,1,0,0
道の駅「越前」 エリア,113,,,,,,,,4.168141593,,,,,37,24,11.50442478,,,,0,7,10,26,37,29,4,0,0,0,54,57,39,19,2,3,50,13,8,7,55,0,0,4,0,13,0,0,0,9,32,48,5,22,15,18,4,0,5,10,0,0,0,15,2,0,13,0,4,11,7,20,12,8,7,6,4,4,1,0,0,0,0,0,0,0,0,0,0,3,0,2,3,3,3,2,30,0,0,11,3,13,4,3,3,14,8,3,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
越前海岸 北部 エリア,15,,,,,,,,4.266666667,,,,,5,2,20,,,,0,3,2,3,5,1,1,0,0,0,8,6,7,3,1,0,4,1,1,0,3,0,0,1,0,4,0,0,0,1,1,5,1,3,2,0,1,0,3,0,0,1,0,3,0,0,2,0,1,1,3,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,4,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小浜 エリア（宿泊施設）,50,,,,,,,,4.28,,,,,18,6,24,,,,0,1,6,10,21,7,5,0,0,0,24,26,35,8,2,5,0,11,3,6,14,1,0,3,1,5,0,0,0,18,5,25,3,9,0,0,1,0,6,11,1,1,0,1,8,10,1,1,1,8,8,8,9,3,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,5,1,0,2,0,0,0,1,1,1,4,0,1,13,4,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
道の駅「三方五湖」  エリア,64,,,,,,,,4.109375,,,,,20,14,9.375,,,,0,2,11,10,23,16,2,0,0,0,24,37,18,6,1,2,37,10,3,7,26,1,0,3,0,5,0,0,0,7,13,27,8,17,6,5,0,0,4,8,0,0,1,12,3,3,6,1,5,11,2,6,4,6,3,0,3,0,2,0,0,0,0,0,0,1,0,0,0,1,4,3,1,0,0,3,19,0,0,4,2,3,1,5,4,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
道の駅「南えちぜん山海里」 エリア,112,,,,,,,,4.321428571,,,,,54,22,28.57142857,,,,0,7,20,20,44,18,3,0,0,0,61,48,34,9,3,8,58,18,5,3,43,0,0,4,1,22,0,0,0,7,10,36,12,20,26,14,6,0,2,12,0,0,0,14,9,7,9,2,5,15,3,12,23,5,7,4,8,2,1,0,0,0,0,0,0,0,0,0,0,3,1,4,4,1,5,2,22,0,0,10,0,13,0,5,5,17,12,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
かずら橋 エリア,230,,,,,,,,4.239130435,,,,,76,45,13.47826087,,,,0,14,17,43,83,50,21,0,0,0,101,120,70,18,6,5,131,14,12,11,100,0,0,13,1,36,0,0,0,22,45,105,30,60,28,17,4,1,26,22,12,0,2,37,12,0,26,12,20,26,15,14,16,21,10,15,15,5,6,0,0,0,0,0,0,0,2,0,0,1,6,6,4,0,4,16,73,1,0,39,0,28,3,11,8,18,6,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
道の駅「若狭おばま」 エリア,157,,,,,,,,4.350318471,,,,,72,21,32.48407643,,,,1,11,21,27,64,29,4,0,0,0,71,83,42,8,5,8,94,25,6,5,79,1,0,9,2,8,0,0,0,15,14,78,10,33,9,28,3,1,14,23,1,0,1,23,8,6,20,5,7,20,12,14,19,9,7,7,11,5,2,0,0,0,0,0,0,0,0,0,1,1,4,4,4,0,1,2,38,0,0,10,0,9,0,17,25,20,15,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
丸岡城 エリア,99,,,,,,,,4.141414141,,,,,31,17,14.14141414,,,,1,2,6,15,35,37,3,0,0,0,58,38,27,13,6,6,47,16,1,2,55,1,0,8,0,3,0,0,0,7,14,37,6,42,15,3,1,1,2,9,2,0,1,7,2,6,1,1,6,5,7,29,9,9,6,5,6,1,0,1,0,0,0,0,0,0,0,0,1,0,2,4,2,4,3,6,31,0,1,4,2,11,1,3,7,3,8,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
名田庄 エリア,43,,,,,,,,4.162790698,,,,,10,13,-6.976744186,,,,0,2,2,5,24,8,2,0,0,0,22,20,5,2,0,3,33,9,1,1,28,0,0,1,0,1,0,0,0,1,4,13,5,11,0,6,2,0,2,5,0,0,0,15,0,0,2,3,2,2,3,6,5,2,2,3,6,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,7,0,0,3,0,2,0,0,15,8,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
道の駅「禅の里」 エリア,102,,,,,,,,4.137254902,,,,,26,28,-1.960784314,,,,1,2,10,11,32,40,6,0,0,0,57,42,28,4,0,2,68,14,6,3,60,1,0,2,0,7,0,0,0,5,15,44,4,11,17,11,7,0,2,4,2,0,0,14,1,0,5,4,8,10,5,27,6,5,7,5,6,2,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,5,7,51,0,2,5,0,7,2,5,1,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR美浜駅 エリア,109,,,,,,,,4.229357798,,,,,29,28,0.917431193,,,,1,4,15,22,43,22,2,0,0,0,43,62,31,6,1,7,64,22,4,8,50,0,0,5,0,11,0,0,0,11,12,33,6,16,7,20,3,1,5,12,2,0,1,15,3,4,10,8,2,15,11,9,14,7,2,4,3,6,1,2,0,0,0,0,0,0,0,1,1,0,2,2,0,0,2,5,49,0,1,3,0,6,2,5,7,13,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
道の駅「恐竜渓谷かつやま」 エリア,191,,,,,,,,4.267015707,,,,,69,48,10.9947644,,,,2,14,38,33,59,38,5,0,0,0,85,99,55,23,7,8,98,21,5,5,88,1,0,7,0,40,0,0,0,9,30,41,8,37,57,26,8,1,7,20,3,1,0,19,7,3,14,10,10,14,20,21,22,20,11,13,5,8,1,1,0,0,0,0,0,0,0,3,2,2,6,5,6,0,4,5,81,2,1,5,4,18,5,7,2,13,13,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0
一乗谷朝倉氏遺跡 エリア,104,,,,,,,,3.971153846,,,,,28,23,4.807692308,,,,0,5,5,23,30,34,7,0,0,0,62,38,31,14,3,9,47,20,4,7,55,0,0,1,1,6,0,0,0,8,22,31,5,27,12,3,5,0,4,9,1,0,0,9,7,6,10,4,6,9,5,27,13,3,1,4,8,1,1,1,0,0,0,0,0,0,0,0,0,2,2,4,4,0,3,0,43,0,0,4,1,9,2,0,2,13,9,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ふくい鮮いちば エリア,40,,,,,,,,4.325,,,,,13,11,5,,,,1,3,7,10,8,9,2,0,0,0,23,16,8,6,0,5,21,9,3,2,18,0,0,2,2,0,0,0,0,6,5,25,3,10,4,4,1,0,2,7,1,0,0,3,2,2,1,1,1,5,7,6,2,2,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,20,0,0,2,0,3,0,1,3,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
花の駅 ゆりの里公園 エリア,88,,,,,,,,4.159090909,,,,,28,16,13.63636364,,,,1,4,22,17,14,29,1,0,0,0,48,36,16,7,4,0,61,5,1,0,26,1,0,2,0,42,0,0,0,1,13,28,3,5,30,8,6,0,2,2,1,1,1,6,6,2,5,1,4,7,13,22,5,7,5,1,3,2,3,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,2,3,59,0,0,4,1,3,1,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
若狭フィッシャーマンズワーフ エリア,44,,,,,,,,4.113636364,,,,,13,10,6.818181818,,,,0,1,9,11,11,9,3,0,0,0,24,19,8,4,2,1,29,9,2,0,22,1,0,3,0,4,0,0,0,1,1,19,3,8,1,11,1,0,1,2,1,0,0,6,2,2,5,2,2,6,8,3,7,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,1,16,0,0,2,0,1,0,4,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
御食国若狭おばま食文化館 エリア,21,,,,,,,,4.142857143,,,,,6,6,0,,,,0,1,5,2,8,5,0,0,0,0,7,14,3,1,1,0,16,3,3,0,10,0,0,3,0,0,0,0,0,1,1,8,1,3,0,3,0,0,0,3,0,0,0,6,1,1,1,2,2,6,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,2,0,0,1,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北ノ庄 エリア,29,,,,,,,,4.137931034,,,,,6,1,17.24137931,,,,0,2,0,2,3,22,0,0,0,0,23,6,1,5,0,1,22,1,2,0,25,0,0,0,0,0,0,0,0,1,4,20,3,2,3,1,0,0,0,3,0,0,0,0,0,1,1,0,1,1,0,23,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
小浜市 阿納 エリア,16,,,,,,,,4.4375,,,,,8,1,43.75,,,,0,1,2,4,3,5,1,0,0,0,9,7,14,2,0,0,0,0,2,3,4,1,0,0,0,2,0,0,0,6,1,13,0,1,1,1,0,0,1,0,0,1,3,0,0,0,0,2,0,2,0,3,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,1,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三国湊 エリア,72,,,,,,,,4.152777778,,,,,21,11,13.88888889,,,,2,3,10,9,18,27,3,0,0,0,36,35,17,15,2,3,35,5,1,3,39,0,0,3,0,6,0,0,0,4,25,41,4,15,6,3,2,0,2,6,0,0,0,4,2,1,5,2,1,2,9,28,5,4,6,1,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,7,1,1,1,3,35,0,1,0,1,3,3,4,3,3,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
まちの市場 こってコテいけだ エリア,52,,,,,,,,4.326923077,,,,,21,8,25,,,,0,2,9,10,20,10,1,0,0,0,27,25,20,4,3,3,22,7,0,2,18,0,0,1,0,17,0,0,0,2,10,17,3,4,7,3,0,0,4,8,3,0,0,8,3,1,4,2,4,5,5,6,1,2,4,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,23,0,1,7,0,5,0,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
越前大仏 エリア,24,,,,,,,,3.833333333,,,,,9,8,4.166666667,,,,0,1,4,1,14,4,0,0,0,0,12,11,6,5,1,0,12,4,5,0,10,1,0,3,0,1,0,0,0,2,3,5,2,9,5,3,0,0,2,1,2,1,0,2,0,0,2,2,2,3,2,2,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,5,0,1,0,0,4,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
うるしの里 エリア,23,,,,,,,,4.086956522,,,,,6,9,-13.04347826,,,,1,2,2,0,16,2,0,0,0,0,13,10,7,4,0,5,7,8,1,0,6,0,0,2,1,1,0,0,0,2,2,6,2,6,2,5,3,0,1,3,1,0,0,1,0,7,2,1,2,0,0,2,6,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,5,0,0,0,0,1,0,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
