TIF,施設,全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,回答数順位,回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
石川県,ＨＯＴＥＬ金沢　兼六荘,72,0,0,,35,57,4.46875,,4.390625,,4.426470588,,7.541666667,25,18,0.097222222,0,0,,0,0.083333333,0.138888889,0.097222222,0.277777778,0.319444444,0.083333333,0,0,0,0.527777778,0.458333333,0.388888889,0.319444444,0.138888889,0.138888889,0.013888889,0.222222222,0.013888889,0.027777778,0.402777778,0.013888889,0,0.069444444,0.069444444,0.013888889,0.041666667,0,0,0.138888889,0.027777778,0.486111111,0.083333333,0,0,0,0.027777778,0,0,0,0,0,0,0.013888889,0,0.166666667,0.027777778,0.027777778,0.138888889,0.194444444,0.111111111,0.083333333,0.069444444,0.055555556,0.055555556,0.069444444,0.097222222,0.041666667,0.027777778,0,0.013888889,0,0.013888889,0,0.041666667,0.013888889,0,0.013888889,0,0,0.027777778,0.166666667,0.041666667,0.013888889,0.027777778,0.027777778,0,0,0.027777778,0.027777778,0.055555556,0.138888889,0.013888889,0.013888889,0.013888889,0.097222222,0.069444444,0.027777778,0.013888889,0,0,0.027777778,0.027777778,0,0,0,0.027777778,0,0,0,0,0,0,0,0.013888889,0
石川県,金沢マンテンホテル駅前,47,0,0,,50,58,4.35,,4.404761905,,4.456521739,,7.85106383,13,7,0.127659575,0,0,,0.021276596,0.127659575,0.106382979,0.106382979,0.382978723,0.234042553,0.021276596,0,0,0,0.446808511,0.531914894,0.489361702,0.340425532,0.106382979,0.063829787,0,0.319148936,0.127659575,0.106382979,0.234042553,0,0,0.063829787,0.063829787,0.042553191,0,0,0,0.14893617,0.234042553,0.468085106,0.085106383,0,0,0,0.085106383,0,0,0,0,0,0,0,0,0.255319149,0.042553191,0.021276596,0.042553191,0.021276596,0.191489362,0.106382979,0.127659575,0.021276596,0.063829787,0.106382979,0.170212766,0.042553191,0.042553191,0.063829787,0,0,0,0,0,0,0.042553191,0,0,0.042553191,0.085106383,0.14893617,0.085106383,0.021276596,0,0.063829787,0,0,0.063829787,0.021276596,0,0.127659575,0,0,0.042553191,0.106382979,0,0.021276596,0,0,0,0.021276596,0,0,0,0,0,0,0,0,0,0.021276596,0,0,0.021276596,0
石川県,ホテルマイステイズ金沢キャッスル,60,0,0,,41,59,4.283018868,,4.296296296,,4.543859649,,7.633333333,22,16,0.1,0,0,,0.033333333,0.333333333,0.216666667,0.133333333,0.2,0.083333333,0,0,0,0,0.266666667,0.7,0.433333333,0.45,0.083333333,0.033333333,0,0.066666667,0.2,0.2,0.25,0.033333333,0,0.066666667,0.066666667,0.066666667,0.033333333,0,0,0.15,0.05,0.65,0,0,0,0,0.033333333,0,0,0,0,0,0,0.016666667,0,0.116666667,0.066666667,0.066666667,0.1,0.116666667,0.116666667,0.183333333,0.033333333,0.116666667,0.016666667,0.05,0.066666667,0.016666667,0.05,0,0,0,0,0,0,0,0.016666667,0,0,0.116666667,0.05,0.183333333,0.033333333,0.033333333,0.066666667,0.016666667,0,0,0,0,0,0.1,0.016666667,0.016666667,0.033333333,0.083333333,0.083333333,0.033333333,0,0.016666667,0,0,0.016666667,0,0,0,0.016666667,0,0,0,0,0.016666667,0,0.016666667,0.033333333,0
石川県,金沢蓄音器館,41,7,2,2.5,54,26,4.634146341,4.428571429,4.6,4.428571429,4.675,3.857142857,9.024390244,27,1,0.634146342,3,0,0.428571429,0.024390244,0.146341463,0.268292683,0.146341463,0.292682927,0.097560976,0.024390244,0,0,0,0.43902439,0.536585366,0.219512195,0.268292683,0.243902439,0.073170732,0.195121951,0.292682927,0.048780488,0.097560976,0.292682927,0,0,0.073170732,0,0.073170732,0,0,0,0.170731707,0.12195122,0.707317073,0.097560976,0,0,0,0.048780488,0,0,0,0,0,0,0,0,0.024390244,0.048780488,0.024390244,0.097560976,0.097560976,0.219512195,0.170731707,0.097560976,0.073170732,0.024390244,0.024390244,0.073170732,0.048780488,0,0.048780488,0,0,0,0,0,0,0.024390244,0,0.024390244,0.073170732,0.048780488,0.195121951,0.073170732,0,0.024390244,0.073170732,0.097560976,0,0.024390244,0,0.048780488,0.024390244,0.073170732,0,0.024390244,0.024390244,0.024390244,0.024390244,0,0,0.024390244,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,石川県観光物産館,69,27,0,,36,12,4.53125,4.37037037,4.492307692,4.518518519,4.606060606,4.444444444,8.536231884,36,5,0.449275362,16,0,0.592592593,0.057971014,0.115942029,0.202898551,0.260869565,0.202898551,0.130434783,0.028985507,0,0,0,0.231884058,0.739130435,0.391304348,0.304347826,0.115942029,0.072463768,0.115942029,0.028985507,0.043478261,0.173913044,0.101449275,0,0,0.217391304,0.014492754,0.15942029,0.014492754,0.014492754,0,0.130434783,0.217391304,0.724637681,0.101449275,0,0,0,0.014492754,0,0,0,0,0,0,0.057971014,0,0.028985507,0.057971014,0,0.057971014,0.115942029,0.130434783,0.130434783,0.072463768,0.043478261,0.057971014,0.115942029,0.115942029,0,0.101449275,0,0,0,0,0,0.014492754,0,0,0.014492754,0,0.101449275,0.072463768,0.173913044,0.014492754,0,0.043478261,0.043478261,0.043478261,0,0.086956522,0.028985507,0.014492754,0.028985507,0,0,0.028985507,0.057971014,0.101449275,0,0,0,0,0.043478261,0.014492754,0,0,0,0.014492754,0,0.057971014,0,0,0,0,0,0,0
石川県,屋内木育施設 もりのひみつきち,68,4,4,0,37,32,4.532258065,4.25,4.515625,4.25,4.476190476,4.25,8.720588235,42,8,0.5,2,0,0.5,0,0.058823529,0.558823529,0.294117647,0.044117647,0.044117647,0,0,0,0,0.191176471,0.779411765,0.176470588,0.058823529,0.058823529,0.058823529,0.647058824,0.029411765,0,0.029411765,0,0,0,0.014705882,0,0.911764706,0,0,0,0.220588235,0.205882353,0.264705882,0.044117647,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0.044117647,0.014705882,0.014705882,0.088235294,0.014705882,0.205882353,0.147058824,0.132352941,0.044117647,0.058823529,0.132352941,0.088235294,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0.044117647,0,0.191176471,0.602941177,0.014705882,0,0.014705882,0.014705882,0,0,0,0.014705882,0,0.029411765,0.014705882,0.014705882,0,0,0,0,0,0,0,0,0,0,0.014705882,0,0,0,0,0,0,0
石川県,北陸自動車道　尼御前ＳＡ（下り）,41,1,1,0,55,47,4.382352941,5,4.424242424,4,4.558823529,4,7.804878049,16,6,0.243902439,0,0,0,0.024390244,0.146341463,0.268292683,0.146341463,0.317073171,0.073170732,0.024390244,0,0,0,0.219512195,0.707317073,0.365853659,0.243902439,0.146341463,0.097560976,0.146341463,0.12195122,0.073170732,0.024390244,0.243902439,0.024390244,0,0.073170732,0.048780488,0.170731707,0.073170732,0,0,0.170731707,0.243902439,0.463414634,0.024390244,0,0,0,0.024390244,0,0,0,0,0,0,0.12195122,0,0.073170732,0,0.048780488,0,0.195121951,0.146341463,0.12195122,0.073170732,0,0.073170732,0.073170732,0.219512195,0.024390244,0.024390244,0.024390244,0,0,0,0,0,0,0,0,0.024390244,0.048780488,0,0.024390244,0.024390244,0,0.146341463,0.024390244,0.097560976,0,0,0,0.024390244,0.073170732,0.048780488,0.097560976,0.024390244,0.170731707,0.097560976,0.024390244,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0,0,0
石川県,金沢港クルーズターミナル,38,15,23,-0.347826087,57,17,4.103448276,2.4,4.342857143,3.8,4.542857143,3.733333333,7.421052632,10,10,0,4,5,-0.066666667,0,0.078947368,0.184210526,0.210526316,0.368421053,0.131578947,0.026315789,0,0,0,0.368421053,0.631578947,0.157894737,0.263157895,0.105263158,0.105263158,0.368421053,0.131578947,0.052631579,0.078947368,0.289473684,0,0,0.026315789,0.026315789,0.157894737,0,0,0,0.105263158,0.078947368,0.447368421,0.052631579,0,0,0,0.105263158,0,0,0,0,0,0,0.105263158,0,0.026315789,0.078947368,0.026315789,0.131578947,0.105263158,0.105263158,0.131578947,0.131578947,0.026315789,0.026315789,0.078947368,0.105263158,0.026315789,0.026315789,0,0,0,0,0,0,0,0,0,0.052631579,0,0.026315789,0.078947368,0.105263158,0.052631579,0.131578947,0.263157895,0.026315789,0,0.026315789,0.078947368,0,0.052631579,0,0,0.026315789,0.026315789,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0
石川県,小松空港,853,118,74,0.594594595,3,1,4.142164782,3.355932203,4.1453125,3.389830508,4.55704698,4.161016949,7.914419695,338,171,0.195779601,46,20,0.220338983,0.008206331,0.141852286,0.19109027,0.202813599,0.256740914,0.167643611,0.028135991,0.003516999,0,0,0.464243845,0.500586167,0.255568582,0.368112544,0.138335287,0.135990621,0.101992966,0.221570926,0.060961313,0.098475967,0.237983587,0.028135991,0.001172333,0.094958968,0.063305979,0.101992966,0.018757327,0,0.001172333,0.145369285,0.234466589,0.525205158,0.065650645,0,0,0,0.050410317,0,0,0,0,0,0,0.036342321,0,0.126611958,0.036342321,0.035169988,0.057444314,0.080890973,0.100820633,0.124267292,0.076201641,0.080890973,0.083235639,0.07971864,0.120750293,0.060961313,0.063305979,0.077373974,0.003516999,0,0.002344666,0.002344666,0,0,0.015240328,0.007033998,0,0.042203986,0.078546307,0.247362251,0.158264947,0,0.042203986,0.09144197,0.062133646,0.003516999,0.002344666,0.003516999,0.007033998,0.002344666,0.002344666,0,0.003516999,0.007033998,0.001172333,0.001172333,0,0,0.001172333,0,0,0.002344666,0.001172333,0,0.003516999,0.001172333,0.05978898,0.014067995,0.008206331,0.010550996,0,0.002344666,0.007033998,0.024618992
石川県,ふれあい昆虫館,412,24,13,0.846153846,6,14,4.544529262,4.333333333,4.576530612,4.208333333,4.595238095,4.333333333,8.475728155,219,48,0.415048544,11,6,0.208333333,0.002427184,0.077669903,0.427184466,0.339805825,0.11407767,0.031553398,0.007281553,0,0,0,0.378640777,0.59223301,0.15776699,0.11407767,0.048543689,0.058252427,0.621359223,0.033980583,0.026699029,0.019417476,0.048543689,0.002427184,0,0.033980583,0.002427184,0.742718447,0.053398058,0,0,0.099514563,0.152912621,0.259708738,0.097087379,0,0,0,0.046116505,0,0,0,0,0,0,0.04368932,0,0.009708738,0.029126214,0.024271845,0.053398058,0.101941748,0.111650485,0.172330097,0.116504854,0.09223301,0.094660194,0.072815534,0.072815534,0.024271845,0.033980583,0.004854369,0.002427184,0,0.002427184,0,0,0.007281553,0,0,0.007281553,0.012135922,0.016990291,0.038834951,0.024271845,0.004854369,0.106796117,0.54368932,0.075242718,0,0.012135922,0.019417476,0.009708738,0.038834951,0.002427184,0.014563107,0.004854369,0.02184466,0.016990291,0.002427184,0,0,0,0,0.002427184,0,0.002427184,0,0,0,0.002427184,0,0,0,0,0,0,0.002427184
石川県,いしかわ動物園,282,9,9,0,10,23,4.419354839,4.222222222,4.484962406,4.222222222,4.519230769,4.555555556,8.673758865,161,22,0.492907801,5,0,0.555555556,0.007092199,0.106382979,0.368794326,0.29787234,0.095744681,0.081560284,0.039007092,0.003546099,0,0,0.393617021,0.592198582,0.24822695,0.131205674,0.024822695,0.053191489,0.542553192,0.067375887,0.102836879,0.039007092,0.102836879,0.003546099,0.003546099,0.056737589,0.007092199,0.521276596,0.060283688,0,0,0.117021277,0.19858156,0.287234043,0.042553191,0,0,0,0.014184397,0,0,0,0,0,0,0.028368794,0,0.014184397,0.039007092,0.067375887,0.070921986,0.124113475,0.15248227,0.14893617,0.074468085,0.085106383,0.063829787,0.060283688,0.063829787,0.021276596,0.028368794,0.007092199,0,0,0.003546099,0,0,0,0.007092199,0,0.007092199,0.017730496,0.010638298,0.04964539,0.031914894,0.014184397,0.109929078,0.421985816,0.120567376,0,0.003546099,0.021276596,0.007092199,0.046099291,0.010638298,0.014184397,0.010638298,0.046099291,0.024822695,0,0,0,0,0,0,0,0,0.003546099,0.003546099,0,0.003546099,0,0,0,0.003546099,0,0,0
石川県,航空プラザ,133,47,10,3.7,22,5,4.566666667,4.212765957,4.612903226,4.531914894,4.6,4.319148936,8.473684211,73,15,0.436090226,28,4,0.510638298,0.015037594,0.105263158,0.368421053,0.308270677,0.135338346,0.067669173,0,0,0,0,0.323308271,0.639097744,0.263157895,0.22556391,0.097744361,0.07518797,0.338345865,0.045112782,0.030075188,0.052631579,0.082706767,0.015037594,0.007518797,0.090225564,0,0.631578947,0.015037594,0,0,0.187969925,0.255639098,0.353383459,0.030075188,0,0,0,0.052631579,0,0,0,0,0,0,0.045112782,0,0.015037594,0.037593985,0.037593985,0.060150376,0.105263158,0.090225564,0.165413534,0.097744361,0.120300752,0.037593985,0.060150376,0.037593985,0.090225564,0.060150376,0.007518797,0,0,0,0,0,0.007518797,0.007518797,0.015037594,0.015037594,0,0.015037594,0.052631579,0.07518797,0.007518797,0.090225564,0.248120301,0.120300752,0.007518797,0.022556391,0.022556391,0.007518797,0.007518797,0.030075188,0.037593985,0.037593985,0.112781955,0.030075188,0,0,0.007518797,0,0,0.007518797,0,0,0,0,0,0,0,0,0,0,0.007518797,0,0
石川県,日本自動車博物館,43,19,6,2.166666667,53,15,4.421052632,3.842105263,4.414634146,4.263157895,4.58974359,4.526315789,8.348837209,21,6,0.348837209,8,4,0.210526316,0.046511628,0.046511628,0.279069767,0.255813954,0.348837209,0.023255814,0,0,0,0,0.372093023,0.627906977,0.302325581,0.302325581,0.046511628,0.069767442,0.279069767,0.093023256,0.069767442,0.023255814,0.11627907,0.046511628,0,0.093023256,0.046511628,0.302325581,0.023255814,0,0,0.23255814,0.325581395,0.465116279,0.023255814,0,0,0,0.046511628,0,0,0,0,0,0,0.139534884,0,0.046511628,0.069767442,0.046511628,0.023255814,0.093023256,0.093023256,0.11627907,0.093023256,0.093023256,0.139534884,0.139534884,0.046511628,0,0.046511628,0,0,0,0,0.023255814,0,0,0.023255814,0,0.023255814,0.023255814,0.093023256,0.069767442,0.023255814,0,0.023255814,0.139534884,0.11627907,0,0,0,0.046511628,0.093023256,0.046511628,0.023255814,0.023255814,0.069767442,0.069767442,0,0,0,0,0,0.023255814,0,0,0,0,0,0.046511628,0,0,0,0,0,0,0
石川県,「安宅の関」こまつ勧進帳の里,75,6,2,2,34,28,4.2,4.166666667,4.292307692,4.166666667,4.380952381,4.666666667,7.72,29,19,0.133333333,4,1,0.5,0,0.08,0.146666667,0.226666667,0.373333333,0.146666667,0.026666667,0,0,0,0.333333333,0.653333333,0.333333333,0.173333333,0.04,0.106666667,0.346666667,0.106666667,0.013333333,0.12,0.266666667,0,0,0.226666667,0.026666667,0.106666667,0.026666667,0,0,0.106666667,0.333333333,0.48,0.12,0,0,0,0.066666667,0,0,0,0,0,0,0.12,0,0.026666667,0.04,0.04,0.093333333,0.146666667,0.16,0.093333333,0.026666667,0.093333333,0.066666667,0.08,0.066666667,0.04,0.053333333,0,0,0,0,0,0,0.013333333,0.013333333,0,0,0.026666667,0.026666667,0.08,0.04,0.013333333,0.013333333,0.426666667,0.066666667,0,0.026666667,0,0,0.12,0.026666667,0.013333333,0,0.066666667,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0
石川県,加賀伝統工芸村　ゆのくにの森,231,29,16,0.8125,12,11,4.484018265,4.620689655,4.474885845,4.586206897,4.596938776,4.689655172,8.138528139,106,38,0.294372294,16,3,0.448275862,0.064935065,0.142857143,0.242424242,0.272727273,0.147186147,0.095238095,0.03030303,0.004329004,0,0,0.385281385,0.584415584,0.476190476,0.246753247,0.056277056,0.060606061,0.16017316,0.017316017,0.03030303,0.112554113,0.16017316,0.017316017,0.004329004,0.173160173,0.004329004,0.316017316,0.03030303,0,0,0.363636364,0.480519481,0.441558442,0.064935065,0,0,0,0.025974026,0,0,0,0,0,0,0.012987013,0,0.004329004,0.043290043,0.043290043,0.051948052,0.090909091,0.12987013,0.086580087,0.134199134,0.095238095,0.051948052,0.077922078,0.095238095,0.047619048,0.051948052,0.008658009,0,0,0,0,0,0,0.034632035,0,0,0.017316017,0.038961039,0.090909091,0.034632035,0.017316017,0.095238095,0.116883117,0.03030303,0,0,0.043290043,0.008658009,0.121212121,0.038961039,0.038961039,0.03030303,0.082251082,0.073593074,0.038961039,0.021645022,0,0,0.004329004,0.004329004,0,0,0,0,0,0.008658009,0,0,0,0,0,0,0
石川県,小松市観光交流センター Komatsu九,219,16,2,7,13,16,4.409356725,4,4.389830508,4,4.532544379,4.5625,7.97716895,85,42,0.196347032,6,2,0.25,0.00456621,0.114155251,0.242009132,0.228310502,0.273972603,0.114155251,0.02283105,0,0,0,0.378995434,0.584474886,0.278538813,0.269406393,0.123287671,0.091324201,0.237442922,0.347031964,0.077625571,0.091324201,0.173515982,0.00913242,0,0.091324201,0.04109589,0.086757991,0.00913242,0,0,0.141552511,0.287671233,0.406392694,0.03196347,0,0,0,0.109589041,0,0,0,0,0,0,0.02283105,0,0.091324201,0.0456621,0.02739726,0.073059361,0.136986301,0.095890411,0.123287671,0.086757991,0.109589041,0.082191781,0.059360731,0.073059361,0.03196347,0.054794521,0.01826484,0,0,0,0,0.00456621,0,0.02283105,0.00913242,0,0.054794521,0.01826484,0.146118722,0.082191781,0.01369863,0.01826484,0.118721461,0.04109589,0.00456621,0.00913242,0.02739726,0.00456621,0.068493151,0.02283105,0.01826484,0.04109589,0.086757991,0.073059361,0.01369863,0,0,0,0.01826484,0.00456621,0,0.00456621,0,0.01369863,0.00456621,0.01369863,0.00456621,0,0,0,0.00456621,0,0.01369863
石川県,たちばな四季亭,185,3,0,,17,35,4.576687117,3,4.622754491,3,4.587412587,4.333333333,8.340540541,98,26,0.389189189,2,0,0.666666667,0,0.059459459,0.243243243,0.124324324,0.232432432,0.27027027,0.07027027,0,0,0,0.362162162,0.605405405,0.691891892,0.189189189,0.091891892,0.027027027,0,0.005405405,0.07027027,0.064864865,0.405405405,0,0.005405405,0.189189189,0.016216216,0.097297297,0.016216216,0,0,0.778378378,0.805405405,0.708108108,0.075675676,0,0,0,0,0,0,0,0,0,0,0.005405405,0,0.021621622,0.032432432,0.059459459,0.064864865,0.075675676,0.097297297,0.124324324,0.037837838,0.091891892,0.054054054,0.048648649,0.12972973,0.043243243,0.140540541,0.016216216,0,0,0,0,0,0,0.016216216,0,0,0.059459459,0,0.075675676,0.043243243,0.005405405,0.102702703,0.145945946,0.064864865,0,0.005405405,0.032432432,0.021621622,0.091891892,0,0.032432432,0.059459459,0.118918919,0.075675676,0.010810811,0.005405405,0,0,0,0.005405405,0,0,0.005405405,0,0,0,0,0,0,0,0,0.005405405,0
石川県,湖畔の宿　森本,62,1,3,-0.666666667,39,48,4.589285714,4,4.589285714,4,4.583333333,4,8.451612903,34,8,0.419354839,0,0,0,0,0.129032258,0.387096774,0.14516129,0.161290323,0.177419355,0,0,0,0,0.387096774,0.564516129,0.741935484,0.14516129,0.096774194,0.016129032,0,0.016129032,0.14516129,0.096774194,0.403225807,0,0,0.14516129,0.016129032,0.112903226,0,0,0,0.64516129,0.85483871,0.725806452,0.129032258,0,0,0,0,0,0,0,0,0,0,0.048387097,0,0.032258065,0.048387097,0.032258065,0.016129032,0.14516129,0.112903226,0.112903226,0.080645161,0.112903226,0.048387097,0.032258065,0.112903226,0.096774194,0.048387097,0,0.016129032,0,0.016129032,0,0,0,0.016129032,0,0.016129032,0.016129032,0.016129032,0.096774194,0.129032258,0.016129032,0.048387097,0.129032258,0.032258065,0,0.016129032,0,0,0.048387097,0,0.032258065,0.048387097,0.241935484,0.016129032,0.032258065,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0
石川県,ゆのくに天祥,51,27,0,,47,13,4.425531915,3.888888889,4.489361702,4,4.574468085,4.333333333,8.549019608,25,4,0.411764706,11,4,0.259259259,0.039215686,0.196078431,0.274509804,0.274509804,0.156862745,0.039215686,0.019607843,0,0,0,0.450980392,0.549019608,0.568627451,0.294117647,0.058823529,0.058823529,0.019607843,0.019607843,0.019607843,0.058823529,0.196078431,0.019607843,0,0.156862745,0,0.392156863,0.039215686,0,0,0.666666667,0.862745098,0.509803922,0.058823529,0,0,0,0.019607843,0,0,0,0,0,0,0.019607843,0,0,0.019607843,0.019607843,0.078431373,0.039215686,0.117647059,0.098039216,0.078431373,0.196078431,0.098039216,0.078431373,0.117647059,0.039215686,0.019607843,0.039215686,0,0,0,0,0,0,0,0,0,0.019607843,0,0.254901961,0.039215686,0.019607843,0.058823529,0.058823529,0.019607843,0,0.019607843,0.039215686,0,0.098039216,0.019607843,0.039215686,0.039215686,0.098039216,0.039215686,0.019607843,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0
